symbol,value
›,0
Œ,1
Š,2
…,3
–,4
•,5
–,6
†,7
“,8
‘,9
’,10
”,11
Ž,12
œ,13
‰,14
”,15
–,16
™,17
™,18
˜,19
Š,20
–,21
“,22
Š,23
š,24
ƒ,25
™,26
š,27
•,28
Ÿ,29
Š,30
‹,31
˜,32
†,33
•,34
Ÿ,35
‘,36
Œ,37
š,38
Œ,39
š,40
Ÿ,41
–,42
œ,43
“,44
€,45
ˆ,46
š,47
†,48
—,49
‡,50
“,51
•,52
ž,53
‹,54
•,55
‚,56
‡,57
Ÿ,58
ˆ,59
ž,60
–,61
”,62
‡,63
…,64
‰,65
•,66
‡,67
Š,68
„,69
‘,70
–,71
™,72
œ,73
Ÿ,74
—,75
˜,76
™,77
Œ,78
–,79
‹,80
„,81
•,82
•,83
‹,84
•,85
–,86
„,87
š,88
œ,89
‡,90
œ,91
‘,92
˜,93
†,94
ƒ,95
Š,96
—,97
„,98
“,99
ž,100
€,101
™,102
œ,103
œ,104
˜,105
ž,106
Œ,107
„,108
ˆ,109
‰,110
–,111
š,112
‡,113
‘,114
”,115
Ÿ,116
‰,117
†,118
…,119
Š,120
”,121
‰,122
—,123
›,124
Š,125
‰,126
š,127
š,128
”,129
…,130
•,131
“,132
…,133
•,134
„,135
™,136
‘,137
‰,138
–,139
Š,140
„,141
‹,142
—,143
ˆ,144
Œ,145
–,146
Œ,147
š,148
‚,149
…,150
›,151
‹,152
•,153
…,154
„,155
€,156
ž,157
™,158
š,159
Š,160
ž,161
‹,162
‰,163
”,164
ˆ,165
…,166
“,167
”,168
›,169
—,170
—,171
†,172
’,173
›,174
‚,175
š,176
„,177
€,178
–,179
“,180
Š,181
•,182
–,183
„,184
•,185
–,186
œ,187
—,188
‘,189
Ž,190
“,191
‹,192
Ž,193
‚,194
Ž,195
—,196
„,197
ž,198
€,199
…,200
™,201
Œ,202
•,203
†,204
Ÿ,205
‰,206
‘,207
—,208
Š,209
Ž,210
‘,211
„,212
…,213
™,214
–,215
„,216
™,217
‰,218
“,219
ˆ,220
‡,221
—,222
˜,223
™,224
“,225
•,226
‹,227
™,228
Œ,229
Ÿ,230
š,231
•,232
‘,233
‹,234
Š,235
›,236
’,237
˜,238
‘,239
—,240
‡,241
‰,242
Š,243
•,244
“,245
›,246
–,247
œ,248
‰,249
•,250
Ÿ,251
„,252
Ž,253
’,254
ž,255
”,256
—,257
„,258
“,259
‡,260
‹,261
ˆ,262
Š,263
œ,264
”,265
œ,266
Ÿ,267
š,268
Ž,269
™,270
†,271
—,272
“,273
š,274
†,275
“,276
‡,277
Ÿ,278
‚,279
‹,280
‚,281
–,282
†,283
‰,284
š,285
Š,286
š,287
œ,288
‹,289
‘,290
Ÿ,291
š,292
‚,293
Ž,294
†,295
š,296
’,297
˜,298
†,299
‹,300
š,301
Š,302
€,303
“,304
—,305
Ÿ,306
‚,307
Ž,308
‹,309
‘,310
Š,311
Ž,312
“,313
‚,314
‡,315
ƒ,316
…,317
•,318
˜,319
ž,320
“,321
€,322
‚,323
›,324
Œ,325
›,326
†,327
Ž,328
Š,329
’,330
›,331
ž,332
‹,333
Š,334
Ÿ,335
Ž,336
ƒ,337
Œ,338
’,339
›,340
•,341
•,342
ž,343
Œ,344
„,345
Ž,346
Ž,347
€,348
–,349
‹,350
’,351
†,352
’,353
š,354
ƒ,355
™,356
˜,357
›,358
’,359
…,360
‡,361
š,362
œ,363
œ,364
˜,365
œ,366
œ,367
–,368
š,369
‚,370
›,371
ƒ,372
ƒ,373
‘,374
‘,375
›,376
š,377
ƒ,378
“,379
š,380
‰,381
Š,382
›,383
‚,384
‡,385
ƒ,386
˜,387
…,388
„,389
ž,390
‰,391
•,392
Ÿ,393
›,394
Ž,395
…,396
Ÿ,397
›,398
•,399
…,400
ƒ,401
Œ,402
Š,403
†,404
…,405
„,406
–,407
Ÿ,408
Ÿ,409
”,410
Ž,411
ƒ,412
Œ,413
–,414
š,415
š,416
’,417
ˆ,418
„,419
ˆ,420
™,421
•,422
‘,423
€,424
˜,425
Š,426
Š,427
—,428
š,429
˜,430
…,431
œ,432
ˆ,433
‚,434
‚,435
’,436
œ,437
œ,438
Ž,439
‘,440
—,441
š,442
‘,443
—,444
ƒ,445
€,446
Ÿ,447
‰,448
˜,449
†,450
ƒ,451
•,452
Ž,453
„,454
š,455
”,456
–,457
Ž,458
Ž,459
†,460
™,461
’,462
•,463
“,464
‚,465
‘,466
‡,467
Ÿ,468
‡,469
Ž,470
™,471
„,472
‘,473
›,474
Š,475
˜,476
ˆ,477
›,478
™,479
‚,480
Š,481
–,482
†,483
€,484
Œ,485
˜,486
—,487
‚,488
ž,489
Ž,490
‡,491
‘,492
Ž,493
†,494
’,495
’,496
”,497
’,498
Š,499
